id,created,modified,created_by,updated_by,name,description,url,slug,logo,token_limit,config,provider_id,tool_calling,inference,sort_order,status,realtime_sts,codename,cost
46,2025-07-05 10:11:57.130147+00,2026-01-05 08:13:47.522341+00,,,gpt-3.5-turbo,"","",gpt-3-5-turbo,"",,{},7,f,f,0,inactive,f,gpt-3.5-turbo,0.0000
47,2025-07-05 10:12:34.571616+00,2026-01-05 08:13:47.529329+00,,,gpt-4o,"","",gpt-4o,"",,{},7,f,t,0,active,f,gpt-4o,0.0000
48,2025-07-05 10:14:39.731812+00,2026-01-05 08:13:47.5358+00,,,GPT-4.1,"","",GPT-41,"",,{},7,f,t,0,inactive,f,GPT-4.1,0.0000
107,2025-07-05 16:26:48+00,2026-01-05 08:13:47.811947+00,,,o3-mini,"","",o3-mini,"",,{},7,f,f,0,inactive,f,o3-mini,0.0000
110,2025-07-05 16:26:48+00,2026-01-05 08:13:47.842702+00,,,gpt-4.1-mini,"","",gpt-4-1-mini,"",,{},7,f,t,0,active,f,gpt-4.1-mini,0.0000
112,2025-07-05 16:26:48+00,2026-01-05 08:13:47.859038+00,,,gpt-4o-mini,"","",gpt-4o-mini,"",,{},7,f,t,0,inactive,f,gpt-4o-mini,0.0000
118,2025-07-05 16:26:48+00,2026-01-05 08:13:47.907578+00,,,gpt-4-turbo,"","",gpt-4-turbo,"",,{},7,f,f,0,inactive,f,gpt-4-turbo,0.0000
119,2025-07-05 16:26:48+00,2026-01-05 08:13:47.919655+00,,,gpt-4,"","",gpt-4,"",,{},7,f,f,0,inactive,f,gpt-4,0.0000
120,2025-07-05 11:00:10.82784+00,2026-01-05 08:13:47.929661+00,,,llama3-8b-8192,"","",llama3-8b-8192,"",,{},10,f,f,0,inactive,f,llama3-8b-8192,0.0000
132,2025-07-05 16:26:48+00,2026-01-05 08:13:47.987472+00,,,llama3-70b-8192,"","",llama3-70b-8192,"",,{},10,f,f,0,inactive,f,llama3-70b-8192,0.0000
133,2025-07-05 16:26:48+00,2026-01-05 08:13:48.003877+00,,,mistral-saba-24b,"","",mistral-saba-24b,"",,{},10,f,f,0,inactive,f,mistral-saba-24b,0.0000
135,2025-07-05 16:26:48+00,2026-01-05 08:13:48.016529+00,,,gemma2-9b-it,"","",gemma2-9b-it,"",,{},10,f,f,0,inactive,f,gemma2-9b-it,0.0000
136,2025-07-05 16:26:48+00,2026-01-05 08:13:48.029825+00,,,llama-3.1-8b-instant,"","",llama-3-1-8b-instant,"",,{},10,f,f,0,inactive,f,llama-3.1-8b-instant,0.0000
137,2025-07-05 16:26:48+00,2026-01-05 08:13:48.035695+00,,,llama-3.3-70b-versatile,"","",llama-3-3-70b-versatile,"",,{},10,f,f,0,inactive,f,llama-3.3-70b-versatile,0.0000
139,2025-07-05 16:26:48+00,2026-01-05 08:13:48.053905+00,,,compound-beta,"","",compound-beta,"",,{},10,f,f,0,inactive,f,compound-beta,0.0000
140,2025-07-05 16:26:48+00,2026-01-05 08:13:48.066902+00,,,groq/compound-mini,"","",groq-compound-mini,"",,{},10,f,f,0,inactive,f,groq/compound-mini,0.0000
144,2025-07-05 11:14:08.692178+00,2026-01-05 08:13:48.108239+00,,,cognitivecomputations,"","",cognitivecomputations,"",,{},15,f,f,0,inactive,f,cognitivecomputations,0.0000
145,2025-07-05 11:14:30.431776+00,2026-01-05 08:13:48.135025+00,,,dolphin-mixtral-8x7b,"","",dolphin-mixtral-8x7b,"",,{},15,f,f,0,inactive,f,dolphin-mixtral-8x7b,0.0000
154,2025-07-05 16:26:48+00,2026-01-05 08:13:48.189228+00,,,gemini-2.0-pro,"","",gemini-2-0-pro,"",,{},,f,f,0,active,f,gemini-2.0-pro,0.0000
155,2025-07-05 16:26:48+00,2026-01-05 08:13:48.203569+00,,,gemini-2.0-flash,"","",gemini-2-0-flash,"",,{},47,f,t,0,active,f,gemini-2.0-flash,0.0000
161,2025-07-05 11:16:56.378892+00,2026-01-05 08:13:48.280993+00,,,claude-3-5-sonnet-20241022,"","",claude-3-5-sonnet-20241022,"",,{},16,f,f,0,inactive,f,claude-3-5-sonnet-20241022,0.0000
162,2025-07-05 11:17:09.957286+00,2026-01-05 08:13:48.293133+00,,,claude-sonnet-4-20250514,"","",claude-sonnet-4-20250514,"",,{},16,f,f,0,inactive,f,claude-sonnet-4-20250514,0.0000
163,2025-07-05 11:17:20.964584+00,2026-01-05 08:13:48.299131+00,,,claude-3-5-haiku-20241022,"","",claude-3-5-haiku-20241022,"",,{},16,f,f,0,inactive,f,claude-3-5-haiku-20241022,0.0000
164,2025-07-05 11:17:33.990132+00,2026-01-05 08:13:48.305274+00,,,claude-3-7-sonnet-20250219,"","",claude-3-7-sonnet-20250219,"",,{},16,f,f,0,inactive,f,claude-3-7-sonnet-20250219,0.0000
