id,model_id,language_id
3,46,1
4,46,2
5,47,1
6,47,2
7,48,1
8,48,2
119,107,1
120,107,2
125,110,1
126,110,2
129,112,1
130,112,2
141,118,1
142,118,2
143,119,1
144,119,2
145,120,1
157,132,1
158,133,1
160,135,1
161,136,1
162,137,1
164,139,1
165,140,1
170,144,1
171,145,1
172,145,2
189,154,1
190,154,2
191,155,1
192,155,2
203,161,1
204,161,2
205,162,1
206,162,2
207,163,1
208,163,2
209,164,1
210,164,2
239,179,1
240,179,2
241,180,1
242,180,2
243,181,1
244,181,2
245,182,1
246,182,2
247,183,1
248,183,2
249,184,1
250,184,2
251,185,1
252,185,2
253,186,1
254,186,2
255,187,1
256,187,2
257,188,1
258,188,2
259,189,1
260,189,2
261,190,1
262,190,2
263,191,1
264,191,2
265,192,1
266,192,2
291,205,1
292,205,2
293,206,1
294,206,2
295,207,1
296,207,2
297,208,1
298,208,2
299,209,1
300,209,2
301,210,1
302,210,2
303,211,1
304,211,2
305,212,1
306,212,2
307,213,1
308,213,2
309,214,1
310,214,2
311,215,1
312,215,2
313,216,1
314,216,2
385,261,1
386,261,2
387,262,1
388,262,2
389,263,1
390,263,2
391,264,1
392,264,2
393,265,1
394,265,2
395,266,1
396,266,2
397,267,1
398,267,2
407,272,1
408,272,2
409,273,1
410,273,2
411,274,1
412,274,2
413,275,1
414,275,2
421,279,1
422,279,2
423,280,1
424,280,2
425,281,1
426,281,2
433,285,1
434,285,2
435,286,1
436,286,2
437,287,1
439,288,1
440,288,2
447,294,1
448,294,2
449,295,1
450,295,2
451,296,1
452,296,2
454,298,1
455,298,2
456,299,1
457,299,2
458,300,1
459,300,2
467,305,1
468,305,2
469,306,1
470,306,2
471,307,1
472,307,2
475,309,1
478,311,1
505,313,1
506,313,2
507,314,1
508,314,2
509,315,1
510,315,2
511,316,1
512,316,2
513,317,1
514,317,2
515,318,1
516,319,1
517,319,2
518,320,1
519,320,2
520,321,1
521,321,2
522,322,1
523,322,2
524,323,1
525,323,2
666,323,3
667,323,4
668,323,5
669,323,6
670,323,7
526,324,1
527,324,2
528,324,3
529,324,4
530,324,5
531,324,6
532,324,7
540,326,1
541,326,2
542,326,3
543,326,4
544,326,5
545,326,6
546,326,7
547,327,1
548,327,2
549,327,3
550,327,4
551,327,5
552,327,6
553,327,7
554,328,1
555,328,2
556,328,3
557,328,4
558,328,5
559,328,6
560,328,7
568,330,1
569,330,2
570,330,3
571,330,4
572,330,5
573,330,6
574,330,7
596,334,1
597,334,2
598,334,3
599,334,4
600,334,5
601,334,6
602,334,7
603,335,1
604,335,2
605,335,3
606,335,4
607,335,5
608,335,6
609,335,7
610,336,1
611,336,2
612,336,3
613,336,4
614,336,5
615,336,6
616,336,7
624,338,1
625,338,2
626,338,3
627,338,4
628,338,5
629,338,6
630,338,7
638,340,1
639,340,2
640,340,3
641,340,4
642,340,5
643,340,6
644,340,7
645,341,1
646,341,2
647,341,3
648,341,4
649,341,5
650,341,6
651,341,7
652,342,1
653,342,2
654,342,3
655,342,4
656,342,5
657,342,6
658,342,7
671,344,1
678,345,1
679,345,2
680,345,3
681,345,4
682,345,5
683,345,6
684,345,7
685,346,1
686,346,2
687,346,3
688,346,4
689,346,5
690,346,6
691,346,7
694,352,1
695,352,2
696,353,1
697,353,2
698,353,3
699,353,4
700,353,5
701,353,6
702,353,7
703,354,1
704,354,2
705,354,3
720,357,1
721,357,2
722,357,3
723,357,4
724,357,5
725,357,6
726,357,7
727,358,1
728,358,2
729,359,1
730,359,2
731,359,3
732,359,4
733,359,5
734,359,6
735,359,7
736,360,1
737,360,2
738,361,1
739,361,2
740,363,1
741,363,2
744,365,1
745,365,2
746,365,3
747,365,4
748,365,5
749,365,6
750,365,7
751,366,1
752,366,2
753,366,3
754,366,4
758,367,1
759,367,2
760,368,1
761,368,2
762,368,3
763,368,4
764,368,5
765,368,6
766,368,7
767,369,1
768,369,2
769,369,3
770,369,4
771,369,5
772,369,6
773,369,7
774,370,1
775,370,2
776,371,1
777,371,2
778,371,3
779,371,4
780,371,5
781,371,6
782,371,7
783,372,1
784,372,2
785,372,3
786,372,4
787,372,5
788,372,6
789,372,7
790,373,1
791,373,2
792,373,3
793,373,4
794,373,5
795,373,6
796,373,7
797,374,1
798,374,2
799,374,3
800,374,4
801,374,5
802,374,6
803,374,7
804,375,1
805,376,1
806,377,1
807,378,1
808,378,2
809,378,3
810,378,4
811,378,5
812,378,6
815,381,1
816,381,2
817,381,3
818,381,4
819,381,5
820,381,6
1114,382,1
822,382,2
827,383,1
833,384,2
834,385,1
855,388,1
856,388,2
857,388,3
858,388,4
859,388,5
860,388,6
861,388,7
890,393,1
891,393,2
892,393,3
893,393,4
894,393,5
895,393,6
896,394,1
897,394,2
898,394,3
899,394,4
900,394,5
901,394,6
902,394,7
903,395,1
904,395,2
905,395,3
906,395,4
907,395,5
908,395,6
909,395,7
910,396,1
911,396,2
912,396,3
913,396,4
914,396,5
915,396,6
916,397,1
917,397,2
918,397,3
919,397,4
920,397,5
921,397,6
934,398,1
935,398,2
936,398,3
937,398,4
927,399,2
928,399,3
929,399,4
930,399,5
931,399,6
932,399,7
933,399,8
922,400,1
923,400,2
924,400,3
925,400,4
926,400,5
938,401,1
939,401,2
940,401,3
941,401,4
986,402,1
987,402,2
988,402,3
989,402,4
990,402,5
991,402,6
992,402,7
1076,404,1
1077,404,2
1035,405,1
1036,405,2
