id,model_id,modeltype_id
2,46,1
3,47,1
4,48,1
5,107,1
6,110,1
7,112,1
8,118,1
9,119,1
16,120,1
17,132,1
18,133,1
19,135,1
20,136,1
21,137,1
22,139,1
23,140,1
24,144,1
25,145,1
145,155,1
27,161,1
28,162,1
29,163,1
30,164,1
10,279,2
11,280,2
12,281,2
31,285,2
32,286,2
33,287,2
42,299,2
13,305,3
14,306,3
15,307,3
35,311,3
46,313,3
49,314,3
52,315,3
51,316,3
45,317,2
36,318,3
48,319,3
47,320,3
44,321,3
43,322,3
50,323,3
90,324,2
60,326,2
59,327,2
58,328,1
37,330,1
39,334,1
38,335,1
57,336,1
56,340,2
55,342,2
54,344,3
53,345,3
41,346,3
62,352,1
63,353,1
64,354,1
67,357,1
68,358,1
69,359,1
70,360,1
71,361,1
72,362,1
73,363,1
75,365,2
76,366,3
77,367,1
78,368,1
79,369,1
80,370,1
81,371,1
82,372,1
83,373,1
84,374,1
85,375,2
86,376,2
87,377,2
88,378,3
92,381,3
93,382,3
94,383,3
95,384,3
96,385,3
99,388,3
104,393,3
105,394,3
106,395,3
107,396,1
108,397,1
109,398,1
110,399,1
111,400,1
112,401,1
113,402,1
115,404,1
116,405,1
117,406,1
118,407,1
119,408,1
120,409,1
121,410,1
122,411,1
123,412,1
124,413,1
125,414,1
126,415,1
127,416,1
128,417,1
133,422,1
134,423,1
135,424,1
136,425,2
137,426,2
138,427,1
139,428,2
140,429,1
142,430,1
143,431,1
144,432,1
146,433,2
148,338,2
149,435,3
150,436,3
151,437,3
153,439,3
154,272,1
157,374,3
158,371,3
159,423,3
160,422,3
161,372,3
162,373,3
163,440,3
164,441,3
165,442,1
166,443,3
