id,name,code,slug,status,created,modified,provider_id,latency,cost,inference,realtime_sts
7,Arista-PlayAI,Arista-PlayAI,Arista-PlayAI,f,2025-07-05 09:49:16.4752+00,2025-12-22 05:13:04.023248+00,,,0.00,f,f
8,Atlas-PlayAI,Atlas-PlayAI,Atlas-PlayAI,f,2025-07-05 09:49:27.231222+00,2025-12-22 05:13:03.988299+00,,,0.00,f,f
9,Basil-PlayAI,Basil-PlayAI,Basil-PlayAI,f,2025-07-05 09:50:25.438022+00,2025-12-22 05:13:03.969767+00,,,0.00,f,f
10,Calum-PlayAI,Calum-PlayAI,Calum-PlayAI,f,2025-07-05 09:51:57.839936+00,2025-12-22 05:13:03.958196+00,,,0.00,f,f
11,Cheyenne-PlayAI,Cheyenne-PlayAI,Cheyenne-PlayAI,f,2025-07-05 10:01:55.645817+00,2025-12-22 05:13:03.94325+00,,,0.00,f,f
12,Chip-PlayAI,Chip-PlayAI,Chip-PlayAI,f,2025-07-05 10:02:11.716695+00,2025-12-22 05:13:03.933277+00,,,0.00,f,f
13,Cillian-PlayAI,Cillian-PlayAI,Cillian-PlayAI,f,2025-07-05 10:02:26.170287+00,2025-12-22 05:13:03.920955+00,,,0.00,f,f
14,Briggs-PlayAI,Briggs-PlayAI,Briggs-PlayAI,f,2025-07-05 10:32:45.3704+00,2025-12-22 05:13:03.907188+00,,,0.00,f,f
15,Celeste-PlayAI,Celeste-PlayAI,Celeste-PlayAI,f,2025-07-05 10:33:51.609179+00,2025-12-22 05:13:03.891619+00,,,0.00,f,f
16,Deedee-PlayAI,Deedee-PlayAI,Deedee-PlayAI,f,2025-07-05 10:45:54.258973+00,2025-12-22 05:13:03.879686+00,,,0.00,f,f
17,Fritz-PlayAI,Fritz-PlayAI,Fritz-PlayAI,f,2025-07-05 10:46:12.978032+00,2025-12-22 05:13:03.864836+00,,,0.00,f,f
18,Gail-PlayAI,Gail-PlayAI,Gail-PlayAI,f,2025-07-05 10:46:35.912601+00,2025-12-22 05:13:03.853038+00,,,0.00,f,f
19,Indigo-PlayAI,Indigo-PlayAI,Indigo-PlayAI,f,2025-07-05 10:46:51.404356+00,2025-12-22 05:13:03.836222+00,,,0.00,f,f
20,Mamaw-PlayAI,Mamaw-PlayAI,Mamaw-PlayAI,f,2025-07-05 10:47:14.703759+00,2025-12-22 05:13:03.825516+00,,,0.00,f,f
21,Mason-PlayAI,Mason-PlayAI,Mason-PlayAI,f,2025-07-05 10:47:33.708825+00,2025-12-22 05:13:03.793838+00,,,0.00,f,f
22,anushka,anushka,anushka,f,2025-07-05 10:47:37.092933+00,2026-01-15 13:50:33.001093+00,20,,0.00,f,f
23,Mikail-PlayAI,Mikail-PlayAI,Mikail-PlayAI,f,2025-07-05 10:47:51.834616+00,2025-12-22 05:13:03.770667+00,,,0.00,f,f
24,jack,jack,jack,f,2025-07-05 10:48:02.650505+00,2025-12-22 05:13:03.758799+00,,,0.00,f,f
25,Mitch-PlayAI,Mitch-PlayAI,Mitch-PlayAI,f,2025-07-05 10:48:11.041389+00,2025-12-22 05:13:03.745972+00,,,0.00,f,f
26,Quinn-PlayAI,Quinn-PlayAI,Quinn-PlayAI,f,2025-07-05 10:48:26.98095+00,2025-12-22 05:13:03.733642+00,,,0.00,f,f
27,c854436-2dac-4d21-aa69-ae17b54e98eb,c854436-2dac-4d21-aa69-ae17b54e98eb,c854436-2dac-4d21-aa69-ae17b54e98eb,f,2025-07-05 10:48:27.701398+00,2025-12-22 05:13:03.721091+00,,,0.00,f,f
28,Thunder-PlayAI,Thunder-PlayAI,Thunder-PlayAI,f,2025-07-05 10:48:37.791543+00,2025-12-22 05:13:03.707641+00,,,0.00,f,f
29,tara,tara,tara,f,2025-07-05 10:51:58.622419+00,2025-12-22 05:13:03.69536+00,,,0.00,f,f
30,Amalthea,Amalthea,Amalthea,f,2025-07-05 10:53:13.209528+00,2025-08-14 07:53:05.259162+00,24,,0.00,f,f
31,Harmonia,Harmonia,Harmonia,f,2025-07-05 10:53:31.453376+00,2025-12-22 05:13:03.680564+00,24,,0.00,f,f
32,Andromeda,Andromeda,Andromeda,f,2025-07-05 10:53:44.778423+00,2025-12-22 05:13:03.668958+00,24,,0.00,f,f
33,Helena,Helena,Helena,f,2025-07-05 10:53:45.140375+00,2025-12-22 05:13:03.647209+00,24,,0.00,f,f
34,Hermes,Hermes,Hermes,f,2025-07-05 10:53:58.133847+00,2025-12-22 05:13:03.613986+00,24,,0.00,f,f
35,Apollo,Apollo,Apollo,f,2025-07-05 10:54:06.461939+00,2025-12-22 05:13:03.598002+00,24,,0.00,f,f
36,Hyperion,Hyperion,Hyperion,f,2025-07-05 10:54:10.184107+00,2025-12-22 05:13:03.570953+00,24,,0.00,f,f
37,Iris,Iris,Iris,f,2025-07-05 10:54:24.611697+00,2025-12-22 05:13:03.541666+00,24,,0.00,f,f
38,Arcas,Arcas,Arcas,f,2025-07-05 10:54:24.979261+00,2025-12-22 05:13:03.513415+00,24,,0.00,f,f
39,Janus,Janus,Janus,f,2025-07-05 10:54:35.761537+00,2025-12-22 05:13:03.480864+00,24,,0.00,f,f
40,Aries,Aries,Aries,f,2025-07-05 10:54:44.863688+00,2025-12-22 05:13:03.453889+00,24,,0.00,f,f
41,Juno,Juno,Juno,f,2025-07-05 10:54:51.1253+00,2025-12-22 05:13:03.428391+00,24,,0.00,f,f
42,Asteria,Asteria,Asteria,f,2025-07-05 10:55:00.37222+00,2025-12-22 05:13:03.414123+00,24,,0.00,f,f
43,Jupiter,Jupiter,Jupiter,f,2025-07-05 10:55:02.071865+00,2025-12-22 05:13:03.371206+00,24,,0.00,f,f
44,Luna,Luna,Luna,f,2025-07-05 10:55:14.542351+00,2025-12-23 06:57:00.706975+00,60,,0.00,t,f
45,Athena,Athena,Athena,f,2025-07-05 10:55:19.50373+00,2025-12-22 05:13:03.325874+00,24,,0.00,f,f
46,Mars,Mars,Mars,f,2025-07-05 10:55:32.551318+00,2025-12-22 05:13:03.313634+00,24,,0.00,f,f
47,Atlas,Atlas,Atlas,f,2025-07-05 10:55:39.584248+00,2025-12-22 05:13:03.293449+00,24,,0.00,f,f
48,Minerva,Minerva,Minerva,f,2025-07-05 10:55:44.665148+00,2025-12-22 05:13:03.273541+00,24,,0.00,f,f
49,Neptune,Neptune,Neptune,f,2025-07-05 10:55:54.974382+00,2025-12-22 05:13:03.222174+00,24,,0.00,f,f
50,Aurora,Aurora,Aurora,f,2025-07-05 10:55:58.716197+00,2025-12-22 05:13:03.196449+00,24,,0.00,f,f
