id,voice_id,language_id
22,1,1
23,1,2
24,2,1
25,2,2
26,3,1
27,3,2
28,4,1
29,4,2
20,5,1
21,5,2
18,6,1
19,6,2
16,7,1
14,8,1
12,9,1
1,10,1
3,11,1
5,12,1
7,13,1
9,14,1
11,15,1
30,16,1
31,17,1
32,18,1
33,19,1
34,20,1
35,21,1
36,22,1
37,22,2
38,23,1
39,24,1
40,24,2
41,25,1
42,26,1
43,27,1
44,28,1
45,29,1
46,30,1
47,31,1
48,32,1
49,33,1
50,34,1
51,35,1
52,36,1
53,37,1
54,38,1
55,39,1
56,40,1
57,41,1
58,42,1
59,43,1
60,44,1
61,45,1
62,46,1
63,47,1
64,48,1
65,49,1
66,50,1
67,51,1
68,52,1
69,53,1
70,54,1
71,55,1
72,56,1
73,57,1
74,58,1
75,59,1
76,60,1
77,61,1
78,62,1
79,63,1
80,64,1
81,65,1
82,66,1
83,67,1
84,68,1
97,69,1
98,69,2
99,70,1
100,70,2
101,71,1
102,71,2
107,74,1
108,74,2
109,75,1
110,76,1
111,77,1
112,78,1
113,79,1
114,80,1
115,80,2
116,81,1
117,81,2
118,82,1
119,82,2
120,83,1
121,84,1
122,85,1
128,91,1
132,95,1
133,95,2
134,96,1
135,96,2
136,96,3
137,96,4
138,96,5
139,96,6
140,96,7
141,97,1
142,97,2
143,97,3
144,97,4
145,97,5
146,97,6
147,97,7
148,98,1
149,98,2
150,98,3
151,98,4
152,98,5
153,98,6
154,98,7
162,100,1
163,100,2
164,100,3
165,100,4
166,100,5
167,100,6
168,100,7
169,101,1
170,101,2
171,101,3
172,101,4
173,101,5
174,101,6
175,101,7
176,102,1
177,102,2
178,102,3
179,102,4
180,102,5
181,102,6
182,102,7
183,103,1
184,103,2
185,103,3
186,103,4
187,103,5
188,103,6
189,103,7
190,104,1
191,104,2
192,104,3
193,104,4
194,104,5
195,104,6
196,104,7
199,106,1
200,106,2
201,106,3
202,106,4
203,106,5
204,106,6
205,106,7
213,108,1
214,108,2
215,108,3
216,108,4
217,108,5
218,108,6
219,109,1
220,109,2
221,110,2
222,111,2
223,112,3
224,113,8
225,114,9
226,115,4
227,116,1
228,117,1
229,118,1
230,119,1
231,120,2
232,121,2
233,122,2
235,124,1
236,125,1
237,126,1
238,127,1
239,128,1
240,129,1
241,130,2
242,131,2
243,132,1
244,133,1
245,134,1
246,135,1
247,135,2
255,136,1
256,136,2
264,137,1
265,137,2
273,138,1
274,138,2
275,138,3
276,138,4
277,138,5
278,138,6
279,138,7
280,138,8
281,138,9
282,139,1
283,139,2
291,140,1
292,140,2
299,141,1
300,141,2
301,141,3
302,141,4
303,141,5
304,141,6
305,141,7
306,142,1
307,142,2
312,143,1
313,143,2
314,143,3
315,143,4
316,143,5
317,143,6
318,143,7
319,143,8
320,143,9
321,144,1
322,144,2
323,144,3
324,144,4
325,144,5
326,144,6
327,144,7
328,144,8
329,144,9
330,145,1
331,145,2
332,145,3
333,145,4
334,145,5
335,145,6
336,145,7
337,145,8
338,145,9
339,146,1
340,146,2
341,146,3
342,146,4
343,146,5
344,146,6
345,146,7
346,147,1
347,147,2
348,147,3
349,147,4
350,147,5
351,147,6
352,147,7
353,147,8
354,148,1
355,148,2
363,149,1
364,149,2
372,150,1
373,150,2
374,150,3
375,150,4
376,150,5
377,150,6
378,150,7
379,150,8
380,151,1
381,151,2
382,151,3
383,151,4
384,151,5
385,151,6
386,151,7
387,151,8
388,151,9
389,152,1
390,152,2
391,152,3
392,152,4
393,152,5
394,152,6
395,152,7
396,152,8
397,152,9
398,153,1
399,153,2
400,153,3
401,153,4
402,153,5
403,153,6
404,153,7
405,153,8
406,153,9
407,154,1
408,154,2
409,154,3
410,154,4
411,154,5
412,154,6
413,154,7
414,154,8
415,154,9
420,157,1
421,157,2
422,157,3
423,157,4
424,157,5
425,157,6
426,157,7
427,157,8
